"hb_author";"hb_university";"hb_age";"hb_subject";"hb_age_today";"hb_bwl2014_u40_rank";"hb_bwl2014_u40_score";"hb_bwl2014_lw_rank";"hb_bwl2014_lw_score";"hb_bwl2014_cr_rank";"hb_bwl2014_cr_score";"hb_vwl2013_u40_rank";"hb_vwl2013_u40_score";"hb_vwl2013_cr_rank";"hb_vwl2013_cr_score";"hb_vwl2013_lw_rank";"hb_vwl2013_lw_score";"hb_bwl2012_u40_rank";"hb_bwl2012_u40_score";"hb_bwl2012_cr_rank";"hb_bwl2012_cr_score";"hb_bwl2012_lw_rank";"hb_bwl2012_lw_score";"hb_vwl2011_u40_rank";"hb_vwl2011_u40_score";"hb_vwl2011_cr_rank";"hb_vwl2011_cr_score";"hb_vwl2011_lw_rank";"hb_vwl2011_lw_score";"hb_vwl2010_u40_rank";"hb_vwl2010_u40_score";"hb_vwl2010_cr_rank";"hb_vwl2010_cr_score";"hb_vwl2010_lw_rank";"hb_vwl2010_lw_score";"hb_bwl2009_u40_rank";"hb_bwl2009_u40_score";"hb_bwl2009_cr_rank";"hb_bwl2009_cr_score";"hb_bwl2009_lw_rank";"hb_bwl2009_lw_score";"rp_rank";"rp_author";"rp_score";"rp_aabs.views_rank";"rp_aabs.views_score";"rp_abs.views_rank";"rp_abs.views_score";"rp_ad.cites_rank";"rp_ad.cites_score";"rp_adown.loads_rank";"rp_adownloads_score";"rp_adsc.cites_rank";"rp_adsc.cites_score";"rp_affiliation";"rp_anb.cites_rank";"rp_anb.cites_score";"rp_anb.pages_rank";"rp_anb.pages_score";"rp_anb.works_rank";"rp_anb.works_score";"rp_asc.cites_rank";"rp_asc.cites_score";"rp_asc.pages_rank";"rp_asc.pages_score";"rp_asc.works_rank";"rp_asc.works_score";"rp_awdsc.cites_rank";"rp_awdsch.cites_score";"rp_awsc.cites_rank";"rp_awsc.cites_score";"rp_awsc.pages_rank";"rp_awsc.pages_score";"rp_awsc.works_rank";"rp_awsc.works_score";"rp_bet.weenn_rank";"rp_between_score";"rp_close_rank";"rp_close_score";"rp_d.cites_rank";"rp_d.cites_score";"rp_dnb.works_rank";"rp_dnb.works_score";"rp_down.loads_rank";"rp_downloads_score";"rp_dsc.cites_rank";"rp_dsc.cites_score";"rp_h.index_rank";"rp_h.index_score";"rp_nb.cites_rank";"rp_nb.cites_score";"rp_nb.pages_rank";"rp_nb.pages_score";"rp_nb.works_rank";"rp_nb.works_score";"rp_ncau.thors_rank";"rp_ncauthors_score";"rp_nep.cites_rank";"rp_nep.cites_score";"rp_rcau.thors_rank";"rp_rcauthors_score";"rp_sc.cites_rank";"rp_sc.cites_score";"rp_sc.pages_rank";"rp_sc.pages_score";"rp_sc.works_rank";"rp_sc.works_score";"rp_stu.dents_rank";"rp_students_score";"rp_wdsc.cites_rank";"rp_wdsc.cites_score";"rp_wsc.cites_rank";"rp_wsc.cites_score";"rp_wsc.pages_rank";"rp_wsc.pages_score";"rp_wsc.works_rank";"rp_wsc.works_score";"gs_id";"gs_author";"gs_affiliation";"gs_total_cites";"gs_h_index";"gs_i_index";"gs_fields";"gs_citation_2015";"gs_citation_2014";"gs_citation_2013";"gs_citation_2012";"gs_citation_2011";"gs_citation_2010";"gs_citation_2009";"gs_citation_2008";"gs_citation_2007";"rp_age_estimated";"age_combined";"subject_fields";"hb_comonscores"
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;257;"Stijn Claessens ";253,95;249;3926;102;9587;321;357,45;188;1336,42;410;760,33;"Federal Reserve Board (Board of Governors of the Federal Reserve System), Washington, District of Columbia (USA)";286;1895;263;1113,08;271;134;386;16918,8;454;14971,5;436;1623,69;484;151,63;438;743,1;667;577,55;630;70,44;124;18,15;124;4,53;197;763,15;162;182;77;3169;269;1647,98;186;28;183;4011;160;1795;215;250;232;1807;315;88,57;256;1335,58;254;35604,69;311;26181,2;338;2766,18;2360;NA;330;329,04;313;1560,66;500;1043,77;512;122,36;"-WNm38sAAAAJ";"Stijn Claessens";"University of Amsterdam";27403;76;205;"economics, finance";NA;NA;NA;NA;NA;NA;NA;NA;NA;56;56;"A";NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;258;"Jess Benhabib ";254,17;454;2406,67;277;5389;296;346,21;336;778,83;296;866,06;"Department of Economics, New York University (NYU), New York City, New York (USA)";246;2045,83;834;780,5;884;86,16;254;21634,3;496;15766,2;319;1975,88;274;206,55;225;1088,86;416;841,06;265;112,2;323;11,78;389;4,64;218;687,1;646;115;213;1718;226;1764;163;29;172;4001;417;1392;466;193;168;2067;168;90,62;159;1608,87;179;43421,8;251;30753,2;170;3734,5;2360;NA;206;424,1;160;2212,56;218;1638,83;152;211,71;"J5HfMc0AAAAJ";"Jess Benhabib";"NYU";15198;46;92;"economics, NA, economics";NA;NA;NA;NA;NA;NA;NA;NA;NA;67;67;"A";NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;259;"James Alan Robinson ";255,97;300;4209,33;128;9399;239;405,77;231;1135,33;218;1091,22;"Institute for Quantitative Social Science, Harvard University, Cambridge, Massachusetts (USA)";293;1883,67;10180;NA;3389;NA;306;20242,3;2057;5570,47;776;1210,49;223;238,38;321;935,12;1743;280;771;64,62;4528;NA;1266;4,81;107;1117,66;1794;74;105;2616;97;2982,74;344;25;125;5107;6071;NA;1130;133;132;2393;118;91,72;138;1779,16;134;53918,7;1084;13098,4;488;2397,5;869;870,27;97;647,73;146;2472,39;873;681,09;479;129,82;"-h-y2TMAAAAJ";"James Robinson";"Harvard University";34031;49;110;"political economy, long-run development";NA;NA;NA;NA;NA;NA;NA;NA;NA;51;51;"H";NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;260;"Ariel Rubinstein ";256,01;649;2259;1108;3015;200;473,61;756;603;208;1161,3;"Eitan Berglas School of Economics, Tel Aviv University, Tel Aviv, Israel";157;2757,5;674;794;249;137;151;29201,8;216;20710,9;101;3052,72;188;280,02;133;1574,15;175;1169,08;79;194,71;6697;NA;6965;NA;341;564,42;436;129;1271;756;360;1392,37;186;26;226;3345;1078;897;482;182;285;1601;219;90,41;276;1254,26;241;35528;362;23987,3;158;3511,27;2360;NA;321;337,35;210;1920,16;301;1355,09;130;222,99;"sCccieYAAAAJ";"Ariel Rubinstein";"New York Univeristy";27691;56;92;"economic theory, game theory, decision theory, models of bounded rationality...";NA;NA;NA;NA;NA;NA;NA;NA;NA;64;64;"D";NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;261;"G. William Schwert ";256,81;867;1821,83;1644;2159;197;472,42;1219;395,83;147;1401,23;"William E. Simon Graduate School of Business Administration, University of Rochester, Rochester, New York (USA)";119;3212,67;507;879;1988;56;94;40846,1;111;26393,3;262;2204,21;167;293,98;96;1907,71;110;1398,6;148;132,5;5962;NA;5506;NA;327;571,78;3451;NA;2387;NA;257;1663,98;293;24;179;3916;836;1001;3345;NA;295;1561;627;83,32;297;1208,9;141;49277,9;221;29887,8;471;2487,87;2360;NA;303;347,74;157;2293,46;222;1579,83;276;149,02;"0iBUM5wAAAAJ";"G. William Schwert";"University of Rochester";23281;41;48;"asset pricing, corporate finance, time series analysis, applied econometrics";NA;NA;NA;NA;NA;NA;NA;NA;NA;66;66;"G";NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;262;"Marianne Bertrand ";258,19;961;2274,67;671;4962;234;390,63;1326;471,66;146;1342,57;"Booth School of Business, University of Chicago, Chicago, Illinois (USA)";395;1600,75;2893;NA;4826;NA;255;21930;440;15241,7;587;1328,37;148;300,47;264;1045,68;378;820,04;507;80,95;3218;NA;1188;4,82;147;869,58;4092;NA;1046;1010;89;2993,34;344;24;223;3567;1684;732;2217;NA;120;2560;17;93,81;116;1998,88;159;49266;198;31692,3;367;2664,03;2360;NA;83;668,49;162;2356,13;159;1678,99;289;163,26;"bNZV3-0AAAAJ";"Marianne Bertrand";NA;19046;44;56;"economics, NA, economics";NA;NA;NA;NA;NA;NA;NA;NA;NA;47;47;"A";NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;263;"Enrique G. Mendoza ";260,11;338;3301;249;6316;193;457,91;244;1040;154;1324,63;"Department of Economics, University of Pennsylvania, Philadelphia, Pennsylvania (USA)";257;2056,5;542;858,41;750;90,16;212;24912,5;312;17472,9;328;1869,26;138;316,81;180;1283,94;264;896,64;312;103,7;1070;5,85;1280;4,83;215;733,52;685;111;204;1981;181;2117,73;186;28;253;3222;535;1210;558;179;208;1924;584;86,48;219;1461,02;231;38504,8;335;24844,1;267;2974,4;231;237,97;162;502,7;207;1966,07;280;1259,43;258;165,7;"mb6omkkAAAAJ";"Enrique G. Mendoza";"University of Pennsylvania";11356;46;82;"international macroeconomics, macroeconomics, business cycles, credit frictions";NA;NA;NA;NA;NA;NA;NA;NA;NA;52;52;"E";NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;264;"Richard J. Cebula ";260,58;405;3385,83;754;4287;4316;NA;444;828,33;6829;NA;"Davis College of Business, Jacksonville University, Jacksonville, Florida (USA)";2976;NA;36;1926,5;8;384,33;4903;NA;3086;NA;1318;836,07;7080;NA;5241;NA;4389;NA;2227;27,57;2901;NA;7160;NA;6108;NA;12;370;930;943;8642;NA;4360;NA;4258;NA;119;2012;42;413;5552;NA;3975;NA;5522;NA;6359;NA;4285;NA;2158;881,02;2360;NA;8803;NA;6641;NA;5671;NA;3255;NA;"v8c0yCEAAAAJ";"Richard J. Cebula";NA;3483;29;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;265;"Andrew W. Lo ";262,28;339;3238,17;635;4185;222;442,24;476;772,33;234;1057,25;"Sloan School of Management, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)";165;2754,17;187;1258;778;92,33;168;27690,3;53;33953,6;182;2505,15;281;211,97;185;1231,75;70;1552,92;181;131,87;2429;NA;2208;NA;399;528,72;1551;80;889;1014;417;1256,01;390;23;276;3149;262;1566;1130;133;430;1315;1076;78,3;460;986,07;296;31888;88;40340,8;309;2966,71;1103;1165,78;477;252,74;327;1425,85;129;1840,25;292;157,69;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;55;55;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;266;"Claudia Goldin ";264,92;43;3877,33;124;5172;380;323,02;1258;583,5;242;1021,73;"Department of Economics, Harvard University, Cambridge, Massachusetts (USA)";479;1401;724;840,5;451;116,16;312;19448,3;482;15888;76;3627,72;199;252,38;265;1015,87;384;863,86;76;298,36;4668;NA;4766;NA;459;453,65;618;121;1599;980;294;1478,39;344;22;525;2035;750;1122;655;175;463;1283;645;84,53;428;1032,39;332;29160,5;424;23590,5;88;5111,05;814;801,34;259;365,76;279;1518,38;321;1317,46;84;420,33;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;69;69;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;267;"Milton Friedman Ü";265,67;119;5999,9;252;7299;184;567,8;106;1679,5;219;1265,52;NA;169;2706,17;936;695,96;182;150,36;216;24633,5;467;14681,4;220;2204,79;226;275,86;215;1217,54;363;764,92;167;125,5;3235;NA;920;NA;342;634,03;138;189;280;1991;396;1457,36;533;20;294;2986;1344;815;382;203;272;1683;106;91,49;270;1305,71;375;27973,3;769;15886,2;405;2527,82;274;186,61;419;320,28;379;1394,31;621;826,78;290;147,89;"KvUWA_kAAAAJ";"Milton Friedman";NA;104039;91;414;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;103;103;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;268;"Bronwyn Hughes Hall ";265,73;455;2946,58;253;6257;154;544,88;527;821;203;1204,31;"Department of Economics, University of California-Berkeley, Berkeley, California (USA)";194;2361,5;1660;513,66;837;94,91;280;20631,59;1563;6849,55;293;2030,55;286;222,34;363;827,38;1929;255,88;351;106,02;107;19,95;207;4,59;134;1003,31;750;118;297;1688;192;2219,36;122;30;151;4422;1086;894;244;249;166;2105;78;92,66;180;1556,06;225;38862,6;993;13902,6;217;3337,39;2360;NA;257;411,89;293;1566,95;1272;526,9;272;175,88;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;269;"Philip Lane ";266,86;201;NA;125;NA;179;NA;142;NA;173;NA;NA;228;NA;520;NA;366;NA;223;NA;615;NA;279;NA;178;NA;222;NA;745;NA;341;NA;2356;NA;2431;NA;192;NA;592;NA;112;NA;197;NA;186;NA;220;NA;519;NA;210;NA;228;NA;457;NA;236;NA;236;NA;543;NA;244;NA;2360;NA;207;NA;249;NA;693;NA;303;NA;"8iXVkrEAAAAJ";"Philip Lane";"Trinity College Dublin";14998;54;115;"economics, NA, economics";NA;NA;NA;NA;NA;NA;NA;NA;NA;46;46;"A";NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;270;"Josh Lerner ";267,6;347;3149,17;411;5075;219;430,65;449;740,68;224;1071;"Harvard Business School, Harvard University, Cambridge, Massachusetts (USA)";199;2334,92;394;962,16;358;122,03;217;24305,5;175;22472,9;165;2552,71;276;214,46;274;1050,97;240;1050,17;202;134,66;2817;NA;1199;4,82;240;650,28;309;151;571;1169;231;1695,16;103;33;215;3440;345;1410;419;200;474;1196;568;85,56;500;911,49;242;36755;146;34594,5;144;3887,76;2360;NA;279;345,6;295;1611,73;206;1635,03;173;204,64;"LvT9KkMAAAAJ";"Josh Lerner";"Harvard University";32463;74;137;"venture capital and private equity, patents, innovation, economics, open source";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"L";NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;271;"David Autor ";267,69;511;2784,08;299;6125;255;377,13;533;868,08;202;1147,52;"Economics Department, Massachusetts Institute of Technology (MIT), Cambridge, Massachusetts (USA)";443;1518,42;1453;544,66;1920;54,66;351;18754,09;158;22527,5;410;1663,9;184;279,23;329;944,63;118;1275,01;378;91,4;2491;NA;1565;4,87;154;819,51;2052;NA;233;2029;133;2483,37;390;23;248;3295;1162;867;1457;121;214;1903;372;88,65;209;1500,31;214;40593,19;125;35700,19;312;2903,25;748;715;122;604,4;209;2046,19;98;1995,46;287;159,9;"cp-8uaAAAAAJ";"David Autor";"MIT";15354;37;66;"economics, NA, economics";NA;NA;NA;NA;NA;NA;NA;NA;NA;48;48;"A";NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;272;"Glenn D. Rudebusch ";267,7;375;2913,5;302;5569;208;481,08;305;857,5;195;1292,46;"Economic Research, Federal Reserve Bank of San Francisco, San Francisco, California (USA)";153;2898,83;1092;640,83;581;100,83;139;32565,1;689;11451,6;453;1581,31;189;296,77;131;1607,27;621;567,82;344;93,33;3936;NA;2769;NA;217;782,74;618;117;252;1583;219;2096,19;70;37;149;4490;706;1082;453;195;183;2018;407;90,38;181;1553,63;148;49984,1;537;19711,7;343;2746,64;2360;NA;216;478,82;137;2451,23;499;951,55;240;163;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;56;56;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;273;"James Tobin Ü";268,2;63;5744,58;257;6247;383;276,44;55;1815,17;464;635,84;NA;244;2054,33;460;878,16;193;151,41;253;21396,8;506;14142,1;136;2700,77;461;143,05;234;1070,35;440;760,05;126;147,92;4013;NA;856;4,76;766;293,6;359;143;223;2010;868;670,81;743;18;454;2199;973;905;686;164;409;1290;286;89,35;374;1042,31;476;22702;922;14441,9;288;2883,75;48;51,91;856;150,41;443;1131,1;793;771,15;252;157,34;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;97;97;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;274;"Sendhil Mullainathan ";268,22;658;2674,17;462;5989;298;394,9;871;745,33;177;1319,7;"Department of Economics, Harvard University, Cambridge, Massachusetts (USA)";422;1558,42;2041;471,08;3030;NA;277;21355,5;453;15103,9;394;1734,06;175;301,13;287;1048,08;307;878,27;331;119,32;4269;NA;1290;4,83;190;829,25;2855;NA;666;1464;119;2787,46;390;23;248;3296;1389;804;1457;114;136;2435;29;93,78;128;1892,99;175;45209,9;206;31164,3;223;3245,12;1964;1982,39;118;639,56;178;2218,56;121;1844,63;176;217,75;"oExfyEkAAAAJ";"Sendhil Mullainathan";NA;19108;49;79;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;44;44;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;275;"Michael B. Devereux ";268,47;457;2803,53;245;6559;417;275,47;496;821,6;346;790,23;"Vancouver School of Economics, University of British Columbia, Vancouver, Canada";388;1557,7;185;1261,57;406;114,2;327;18601,5;318;17575,3;354;1812,54;315;185,99;299;978,96;300;843,81;358;94,66;150;17,3;213;4,58;313;530,07;335;144;226;2056;266;1556,34;163;28;285;2972;112;1981;204;255;313;1536;1041;79,43;308;1195,27;240;36179;216;30494,2;214;3287,36;271;279,27;239;367,23;219;1917,73;201;1484,86;219;173,66;"iOAnDTQAAAAJ";"michael b devereux";"University of British Columbia";9213;49;107;"international macroeconomics, exchange rates";NA;NA;NA;NA;NA;NA;NA;NA;NA;60;60;"F";NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;276;"Stephen P. Jenkins ";269,11;52;9419;50;14526;622;264,04;39;2872;1120;385,57;"Department of Social Policy, London School of Economics (LSE), London, United Kingdom";558;1298,56;548;850,08;260;138,22;1128;7264,4;1385;7597,44;1172;921,46;1276;73,38;1324;286,57;2064;249,65;1675;36,5;154;17,67;76;4,46;670;409,75;156;183;42;4312;1151;612,13;533;20;614;1930;456;1281;139;298;526;1182;463;87,49;567;877,47;1177;11011,1;1387;11247,5;1032;1503,01;943;989,86;1301;116,51;1384;437,9;2088;373,16;1498;62,32;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;277;"Pete Klenow ";270,32;490;2788,67;483;4796;174;481,34;502;800,33;121;1587,51;"Department of Economics, Stanford University, Stanford, California (USA)";263;2025,42;3481;NA;4686;NA;176;27427,2;701;14825,2;1011;1024,2;98;406,26;157;1416,47;477;907,64;780;60,03;5421;NA;5369;NA;169;791,39;4368;NA;502;1345;122;2554,19;390;22;217;3509;2802;NA;3136;NA;138;2331;74;92,7;134;1803,56;164;46923,5;645;21214,8;810;1744,9;2360;NA;91;651,57;141;2418,53;434;1259,23;677;100,08;"qYVdm9wAAAAJ";"Pete Klenow";"Stanford University";12655;32;42;"growth, business cycles";NA;NA;NA;NA;NA;NA;NA;NA;NA;51;51;"O";NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;278;"Gilles Saint-Paul ";270,69;392;3158,65;321;5761;676;216,99;608;697,64;689;553,71;"Paris School of Economics, Paris, France";530;1300,17;119;1424,11;94;187,13;538;13116,5;253;19460,8;98;3281,64;646;125,56;515;654,19;263;905,99;106;164,68;666;7,71;85;4,46;982;269,33;86;218;650;1227;945;692,03;618;19;751;1635;35;2682;39;419;490;1216;450;88,48;463;967,03;715;16625,59;429;22265,8;177;3590,08;507;492,99;897;157,18;688;830,28;448;1028;187;179,29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;52;52;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;279;"Vernon L. Smith ";273,64;534;2362,58;673;3667;252;417,06;606;560,96;334;886,43;"Economic Science Institute (ESI), Argyros School of Business and Economics, Chapman University, Orange, California (USA)";237;2105,02;177;1298,3;330;122,96;319;18598;133;24402;265;2023,77;392;176,68;382;776,52;171;1148,77;332;95,91;868;6,42;1150;4,81;248;673,16;148;184;980;809;330;1469,6;122;31;225;3367;86;2145;358;205;364;1384;441;86,5;366;1057,91;309;30335,2;111;37187,8;260;2979,05;1013;1028,95;394;295,88;383;1277,47;170;1701,46;344;137,39;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;88;88;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;280;"Andrew B. Bernard ";274,04;1109;1628,92;178;7131;202;456,25;886;501,66;210;1143,31;"Tuck School of Business, Dartmouth College, Hanover, New Hampshire (USA)";247;2125,58;5252;NA;3207;NA;294;20574;2135;5444,24;741;1163,02;214;252,39;309;938,95;2011;263,56;678;67,72;633;7,98;376;4,65;102;1159,49;1597;75;214;1863;98;3035,28;140;31;126;5066;2222;NA;434;196;152;2180;366;88,66;157;1633,47;143;51490,2;927;14535,4;313;2834,23;1109;1170,58;92;680,09;156;2405,81;897;725,22;294;164,73;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;52;52;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;283;"Yongcheol Shin ";276,91;583;2443,83;311;5903;101;695,51;518;724;278;970,69;"Department of Economics and Related Studies, University of York, York, United Kingdom";125;3212,67;3374;NA;3795;NA;373;17404,9;2169;NA;3134;NA;449;159,48;546;613,77;2787;NA;3927;NA;683;7,94;594;4,69;46;1627,41;2176;NA;279;1723;165;2234,42;533;20;60;7520;2061;675;2378;NA;57;3247;161;92,68;75;2223,78;210;39978,69;1403;11209,2;2250;NA;2360;NA;280;364,55;341;1403,54;2000;390,9;3050;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;55;55;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;284;"Marco Pagano ";278,83;355;3575,87;180;7633;265;388,06;259;1105,3;267;993,48;"Centro Studi di Economia e Finanza (CSEF), Napoli, Italy";221;2208,21;729;778,41;1059;81,36;236;22807,5;218;21217,5;349;1874,52;288;217,15;260;1108,06;224;1054,04;377;102,44;1188;5,5;700;4,72;246;665,92;1109;94;174;2356;263;1714,24;122;30;205;3662;434;1318;382;208;224;1830;434;88,53;224;1408,22;227;37757,8;159;35029,4;250;3146,05;2360;NA;289;372,82;256;1831,95;194;1678,4;305;171,08;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;59;59;NA;NA
